SampleID	Iron	Ligth	Time	Condition	wget	md5
SRR3103206	STANDARD	DARK	22H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/006/SRR3103206/SRR3103206.fastq.gz	c95444f015fec9be0e70060a3c014485
SRR3103207	STANDARD	DARK	22H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/007/SRR3103207/SRR3103207.fastq.gz	b732b6f0834425dc7a57ad2660b57a9e
SRR3105362	DEPLETED	LIGHT	3H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/002/SRR3105362/SRR3105362.fastq.gz	26cda8d7a82a3eb05e20a5476fc7431b
SRR3105363	DEPLETED	LIGHT	3H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/003/SRR3105363/SRR3105363.fastq.gz	298c560c0733e74945448b9a3f7f1395
SRR3105364	DEPLETED	LIGHT	3H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/004/SRR3105364/SRR3105364.fastq.gz	08cc2bc3466deee0b46eba61869b63f1
SRR3105697	DEPLETED	LIGHT	9H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/007/SRR3105697/SRR3105697.fastq.gz	48bd094825243d03bd59e2801ccf9931
SRR3105698	DEPLETED	LIGHT	9H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/008/SRR3105698/SRR3105698.fastq.gz	0102f812c71517b8e550702f320ac607
SRR3105699	DEPLETED	LIGHT	9H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/009/SRR3105699/SRR3105699.fastq.gz	e7a74957778b75ac332b67a87da495ea
SRR3112575	DEPLETED	DARK	15H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/005/SRR3112575/SRR3112575.fastq.gz	80de77bf3e636f44cb291abbd881ce7d
SRR3112576	DEPLETED	DARK	15H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/006/SRR3112576/SRR3112576.fastq.gz	19055c215668a6c4fc1c57c4b598f064
SRR3112577	DEPLETED	DARK	15H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/007/SRR3112577/SRR3112577.fastq.gz	91cd781fec3647499026d30ee8d2fdbf
SRR3112578	DEPLETED	DARK	22h	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/008/SRR3112578/SRR3112578.fastq.gz	7ff7bdf92b6ca204d98ed911179edce8
SRR3112579	DEPLETED	DARK	22h	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/009/SRR3112579/SRR3112579.fastq.gz	1cac0a93a87f66db4ba876d24d66b26c
SRR3112580	DEPLETED	DARK	15H	CondB	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/000/SRR3112580/SRR3112580.fastq.gz	dbc540c1b2af452740eec4d8816e409e
